IMG,BUILDING,GRASS,WATER,ROAD,SKY,TREES,PLANTS,FENCE,CAR,BICYCLE,TRUCK,PERSON,CAR_COUNT,BICYCLE_COUNT,TRUCK_COUNT,PERSON_COUNT,MIN_DISTANCE,MAX_DISTANCE,MEAN_DISTANCE,MIN_MIN_DIST,MAX_MIN_DIST,MIN_MAX_DIST,MAX_MAX_DIST,MIN_MEAN_DIST,MAX_MEAN_DIST
Rv_ZhZ9ufk4C7Ex4RL3xaQb.png,0.0477,0.1517,0.0,0.2644,0.1683,0.291,0.0478,0.0272,0.0,0.0,0.0,0.0003,0,0,0,1,5.4685,63.2498,15.1436,0,0,0,0,0,0
__nuIAcos6K-do6beLTwNgb.png,0.1389,0.0881,0.0,0.0704,0.0786,0.2872,0.1041,0.0307,0.2005,0.0,0.0,0.0,3,0,0,0,4.6356,60.189,15.8854,0,0,0,0,0,0
twlabm5B6iGdCa957EV3egb.png,0.2005,0.0123,0.0,0.3414,0.2186,0.1428,0.0,0.0307,0.0455,0.0,0.0076,0.0,6,0,2,0,5.9966,78.3454,24.5953,0,1,0,1,0,0
Pt1S6FCu6192mvQEYOmCvga.png,0.1631,0.3373,0.0,0.0,0.1546,0.267,0.0508,0.0228,0.0,0.0,0.0,0.0,0,0,0,0,5.7784,56.4786,18.7847,0,0,0,0,0,0
eO7TO7l3Q_U-U2QxPAp2aQb.png,0.1176,0.0487,0.0,0.3352,0.2821,0.1697,0.0425,0.0,0.0033,0.0,0.0002,0.0,3,0,1,0,5.6838,80.824,23.8252,0,0,0,1,0,0
cg1AX0pOrvtsM4bXVZBjoAa.png,0.3264,0.2404,0.0,0.0733,0.0138,0.2226,0.1235,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5.2474,68.3213,18.6806,0,0,0,0,0,0
MHowlnTfkwNXYfB7eNeYdgb.png,0.655,0.0,0.0,0.115,0.0,0.0,0.0383,0.0,0.1754,0.0118,0.0026,0.0,2,5,1,0,3.2035,30.0196,19.8383,0,0,1,0,0,0
7BQniL8J-UzXLjX0U7f4nga.png,0.0,0.2292,0.0,0.036,0.1215,0.3843,0.2289,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5.1594,60.7048,15.0811,0,0,0,0,0,0
bjvBAMw6i-DaEJ-V5OaQWAb.png,0.5046,0.0,0.0,0.225,0.1145,0.0,0.0759,0.0461,0.0337,0.0,0.0,0.0,1,0,0,0,3.7814,69.1326,17.7446,0,0,0,0,0,0
SeIx3fF_aCq92fDnNzAi8Qb.png,0.7112,0.0,0.0,0.1554,0.0,0.0,0.014,0.0,0.1089,0.0101,0.0,0.0,2,2,0,0,2.718,26.1574,15.2116,1,0,1,0,0,0
fVf47mChRtvhoefYruo-Dwb.png,0.3354,0.0385,0.0,0.124,0.2747,0.0,0.0053,0.0,0.216,0.0,0.0,0.0043,5,0,0,1,3.9998,67.3182,22.9983,0,0,0,0,0,0
IQoeH2VzypYRdVMH1OitDAa.png,0.2701,0.0,0.0,0.3357,0.2423,0.0654,0.0367,0.0178,0.0305,0.0004,0.0,0.0012,4,1,0,3,4.6097,60.4219,22.7617,0,0,0,0,0,0
obaHdpEMsRPl3ILwka3VXQb.png,0.1288,0.1054,0.0,0.1538,0.2993,0.1887,0.1233,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4.621,64.6662,20.3114,0,0,0,0,0,0
mXv4HWGudzxliNNnhBOj5Qb.png,0.0682,0.1537,0.0,0.2132,0.4002,0.0781,0.0827,0.0,0.0018,0.0,0.0,0.0004,1,0,0,1,5.4798,71.0429,27.9046,0,0,0,0,0,1
YUbXNK0j61CYsCrMtH2UvAa.png,0.4301,0.0982,0.0,0.1073,0.1982,0.0549,0.0444,0.061,0.0,0.0059,0.0,0.0,0,1,0,0,5.4677,65.0265,17.5037,0,0,0,0,0,0
X2eQ5Z1ymRGW9d2AOkd2PAa.png,0.0,0.3969,0.0,0.0376,0.2925,0.0647,0.0702,0.1381,0.0,0.0,0.0,0.0,0,0,0,0,4.8233,73.3845,22.3262,0,0,0,0,0,0
dGcFeFQHrFLf4hMKpsY1zQb.png,0.1796,0.1038,0.0,0.0653,0.3278,0.0401,0.036,0.0387,0.1977,0.0,0.0031,0.0041,3,0,1,1,4.475,74.4899,23.3523,0,0,0,0,0,0
DhIf1_isS3dWb4mne6vIKAb.png,0.6777,0.1584,0.0,0.0056,0.0,0.0,0.1544,0.0,0.0034,0.0,0.0,0.0,1,0,0,0,3.2639,28.8961,11.6819,0,0,1,0,1,0
osz0ebS2MA405qiRthe5iwb.png,0.1343,0.05,0.0,0.3292,0.1082,0.2735,0.0,0.0799,0.0,0.0,0.0241,0.0007,0,0,1,1,5.7847,75.5663,25.581,0,0,0,0,0,0
tb8C145Kskxf8D2Mb5sJFwb.png,0.0064,0.1118,0.0,0.2961,0.0,0.5175,0.0493,0.0,0.0167,0.0,0.0002,0.0003,1,0,1,3,5.5231,76.184,18.692,0,0,0,0,0,0
xql_O8otOFFnPr7P1CdGTQb.png,0.2039,0.236,0.0,0.0,0.276,0.0602,0.0,0.2186,0.0015,0.0,0.0037,0.0,7,0,1,0,3.7221,76.8727,23.7013,0,0,0,0,0,0
m6KMFc506w-qu4KBU3qMcAa.png,0.8615,0.0815,0.0,0.0409,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5.972,17.9424,9.1808,0,1,1,0,1,0
CNdcrBRdunRSLfMIuAcbSAb.png,0.671,0.0,0.0,0.1696,0.0524,0.0,0.0,0.0,0.107,0.0,0.0,0.0,4,0,0,0,6.2059,44.1107,14.2385,0,1,1,0,0,0
yT7eBBJWMrFOJHewAUSc9wb.png,0.0,0.0447,0.0948,0.1832,0.0477,0.4723,0.1485,0.0,0.0006,0.0,0.0,0.0002,4,0,0,2,5.2456,67.8291,20.7791,0,0,0,0,0,0
YCF3oRjCXKmt08CIWkWNMAa.png,0.0913,0.1938,0.0,0.1053,0.2446,0.2037,0.1124,0.0482,0.0007,0.0,0.0,0.0,1,0,0,0,4.9308,63.0847,21.4573,0,0,0,0,0,0
eMB0VtOTA73VagXYB9dPJQb.png,0.0454,0.1298,0.0,0.0,0.4252,0.0351,0.018,0.3454,0.0,0.0,0.0007,0.0001,0,0,1,1,5.5546,75.305,27.3645,0,0,0,0,0,1
OzY76MPQ_-fBeou3w94VFwb.png,0.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4.9722,12.2089,7.6801,0,0,1,0,1,0
spZP9T-RcXcPfV46MbJJ2Qb.png,0.0,0.1474,0.1155,0.1215,0.1917,0.3685,0.0125,0.0,0.0429,0.0,0.0,0.0,2,0,0,0,4.0349,69.1113,20.9557,0,0,0,0,0,0
GfefYG1w3SSdnR-N6Oz0sgb.png,0.4898,0.0,0.0,0.2868,0.1717,0.0,0.0373,0.0,0.0127,0.0,0.0,0.0006,1,0,0,3,5.1556,62.997,20.594,0,0,0,0,0,0
tbVMpyTJgigS88QEdHg-kQb.png,0.0405,0.0343,0.0,0.4398,0.3364,0.1179,0.0228,0.0,0.0072,0.0002,0.0003,0.0002,6,1,1,1,5.4557,77.8251,27.6949,0,0,0,1,0,1
jK6XwrvsMDRyic34L8cZRAb.png,0.2225,0.1197,0.0,0.2279,0.1011,0.2308,0.023,0.0618,0.0123,0.0,0.0,0.0,3,0,0,0,4.337,68.5222,18.9669,0,0,0,0,0,0
iRXiXOmzOOSHuKEGSXmy_wa.png,0.0478,0.4028,0.0,0.0375,0.1573,0.3216,0.0267,0.0,0.0008,0.0,0.0024,0.0,2,0,1,0,5.5387,75.1552,21.3201,0,0,0,0,0,0
d8VtkoLE4iIcvqsXdRy4Oga.png,0.161,0.1437,0.0,0.0882,0.1097,0.3162,0.0556,0.0044,0.1118,0.0,0.0093,0.0,1,0,1,0,2.7638,53.8272,16.1392,1,0,0,0,0,0
MdE40qCAneqRZE09V9FwSga.png,0.0227,0.0,0.0,0.2824,0.4075,0.0259,0.0,0.1076,0.0004,0.0,0.1519,0.0,2,0,1,1,5.2123,62.3515,22.6543,0,0,0,0,0,0
PjOdcpPUcXjdjqlibhz4awa.png,0.2315,0.0442,0.0,0.1798,0.291,0.1098,0.0271,0.0,0.1165,0.0,0.0,0.0,2,0,0,0,5.8475,62.5053,19.9526,0,0,0,0,0,0
